Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,5,12691.0,777,1144,42
Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,6,8256.0,864,1291,33
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,4,3418.0,0,1887,20
Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,3,3313.0,2517,1171,20
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,5,4716.0,0,816,28
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,3,4010.0,1247,1088,24
Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,6,34516.0,2264,1330,31
Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,2,29081.0,1396,1538,36
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,5,22352.0,2517,1350,24
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,6,11656.0,1677,1441,32
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,5,6748.0,1467,1201,42
Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,6,9095.0,1587,1314,26
Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,3,11751.0,0,1539,17
Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,5,8547.0,1666,1311,33
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,5,2436.0,680,1570,29
Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,5,4234.0,972,1348,27
Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,6,30367.0,2362,1671,27
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,4,13535.0,1291,1028,21
Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,2,3193.0,2517,1336,30
Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,6,14470.0,1157,1207,21
Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,5,20979.0,1800,1178,27
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,2,1438.3,0,692,16
Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,4,4470.0,680,931,18
Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,3,2492.0,1560,1126,23
Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,4,12217.0,0,1110,21
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,6,7768.0,1669,1051,22
Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,4,14784.0,1374,1197,23
Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,3,10215.0,1010,1904,40
Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,5,10100.0,0,1052,18
Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,6,4785.0,1362,1045,38
Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,3,2753.0,1811,1038,25
Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,2,2451.0,1690,1596,26
Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,4,8923.0,2517,1589,24
Existing Customer,53,F,2,College,Married,Less than $40K,Blue,5,2650.0,1490,1411,28
Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,6,12555.0,1696,1291,24
Existing Customer,55,F,1,College,Single,Less than $40K,Blue,4,3520.0,1914,1407,43
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,6,3035.0,2298,1877,37
Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,2,15433.0,0,966,22
Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,3,3672.0,886,1464,28
Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,5,7882.0,605,704,16
Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,2,32426.0,578,1109,28
Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,4,6205.0,2204,1347,28
Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,3,17304.0,2517,1756,33
Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,5,3906.0,0,1756,32
Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,2,9830.0,2055,1042,23
Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,3,34516.0,0,1444,28
Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,6,2283.0,1430,1741,27
Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,3,2548.0,2020,1719,27
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,4,19458.0,1435,1217,27
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,5,4745.0,1227,1140,40
Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,6,2622.0,1549,1878,30
Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,2,1438.3,808,705,19
Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,3,3171.0,2179,1946,38
Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,4,19763.0,2517,1414,35
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,1,15769.0,0,602,15
Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,6,3298.0,2200,1052,32
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,2,2802.0,2363,1295,40
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,4,4458.0,1880,1424,29
Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,4,6273.0,978,1359,25
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,4,3336.0,1753,1168,27
Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,4,3436.0,2016,1097,33
Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,2,34516.0,0,691,15
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,5,5926.0,1251,1316,28
Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,2,23957.0,2102,1276,26
Existing Customer,53,M,2,High School,Single,$120K +,Blue,4,14734.0,1634,1289,23
Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,4,34516.0,1515,1293,32
Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,5,6584.0,1817,1353,35
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,6,2084.0,1468,1132,28
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,2,1687.0,1107,1670,17
Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,6,25300.0,1330,837,15
Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,3,34516.0,1763,1550,41
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,5,2216.0,1034,1540,36
Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,4,2910.0,2030,1256,21
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,6,22913.0,1528,1394,35
Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,3,24312.0,1932,1341,24
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,5,5272.0,1515,1289,33
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,6,7000.0,2517,1112,23
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,4,7038.0,1801,2339,57
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,6,2536.0,1823,1468,23
Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,6,28904.0,1899,1334,35
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,4,8567.0,1695,1457,41
Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,6,34516.0,1533,1603,29
Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,2,2158.0,0,615,12
Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,2,10133.0,1417,1068,20
Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,5,34516.0,1219,1590,27
